title,location,corp
커널 드라이버 개발자 모집 경력 채용 - 재택근무제,서울성동구,(주)맨텍
서버 엔지니어 (Go),서울강남구,(주)페이히어
[헤세그] 백엔드 개발 경력자,서울서초구,(주)헤세그
우량 스타트업 백엔드 개발자 모집,서울강남구,(주)핀커스코리아
[헤세그] 백엔드 개발 경력자 채용,서울서초구,(주)헤세그
플랫폼 서버 엔지니어,서울강남구,(주)페이히어
[아프리카TV] 미디어 서버 개발,경기전체,(주)아프리카티비
[아프리카TV] LIVE 방송 시스템 개발,경기전체,(주)아프리카티비
[디지털 헬스케어] 코틀린/스프링(kotlin/spring) 백엔드 개발자,서울강남구,(주)비욘드메디슨
[머신러닝 AI ] Backend Engineer,서울서초구,(주)에스유스카우트
[OVERDARE] Server Programmer (3년 ~ 10년),서울서초구,(주)크래프톤
블록체인 기반 서비스 백엔드 개발자 (경력),경기성남시 수정구,잡고릴라
블록체인 코어 개발 경력자 모집,서울강남구,(주)그루핀
[OVERDARE] Back-end Programmer (3년 이상),서울서초구,(주)크래프톤
[ 클라우드 스토리지 전문기업] 백엔드 엔지니어,서울강남구,(주)비에이블컨설팅그룹
Software Engineer - SaaS Platform,경기전체,(주)업스테이지
[OVERDARE] Data Engineer (1년 ~ 5년),서울서초구,(주)크래프톤
[TmaxMetaverse] 개발 연구원 채용,경기성남시 분당구,(주)티맥스메타버스
[IT 성장 기업] 백엔드 개발,서울강남구,(주)갤리언컨설팅그룹
[Engineering Div.] Game Platform BackendEngineer (2년 ~ 10년,서울강남구,(주)크래프톤
서버 개발자,서울종로구,(주)하이
(주)하이 - 서버 개발자 모집,서울종로구,(주)하이
SRE Engineer,서울강남구,(주)에스티씨랩
[원주] 개발자(Frontend/Backend) 신규 및 경력 정규직 채용,강원원주시,주식회사 네오아리아
AI Ops / AI 모델개발 엔지니어,경기전체,(주)제로원에이아이
반도체/디스플레이 검사장비 비전S/W 개발자 모집,충남천안시 서북구,(주)머신앤비전
[MOLOCO] Senior Staff Software Engineer,서울강남구,(주)몰로코
스마트팩토리 물류시스템 S/W 개발 경력직 채용,경기화성시,비전서치
PM(프로젝트매니저) 정규직 모집(경력),서울전체,(주)에이펙스이에스씨
[OVERDARE] Platform Back-end Programmer (3년 ~ 10년),서울강남구,(주)크래프톤
보안서비스 클라이언트 개발(Window)(경력) 채용,서울전체,(주)모니터랩
DevOps / On-Premises_SI,서울강남구,(주)원프레딕트
"금융 플랫폼 스타트업, 네트워크 보안 담당자 초빙",서울마포구,피플인사이트파트너스 주식회사
보안제품 서비스 개발 [C/Go/Linux 개발](경력) 채용,서울전체,(주)모니터랩
Cloud Native Product(Frontend),서울강남구,(주)에스티씨랩
Front-End 엔지니어,경기전체,(주)제로원에이아이
[MOLOCO] Staff Software Engineer,서울강남구,(주)몰로코
AI Back-End / Bigdata 엔지니어,경기전체,(주)제로원에이아이
AI 인프라SW 개발사 백엔드 웹 엔지니어,서울강남구,(주) 케이와이씨지(KYCG)
시니어 DevOps / On-Premises_SI,서울강남구,(주)원프레딕트
Golang 백엔드 개발자 모집,서울강남구,(주)더블미디어
[신입/경력] 웹 개발자 채용 - vue / react 면접비 지원,서울영등포구,(주)데이터유니버스
Android Automotive Engineer (Vehicle Sync Platform),서울강남구,포티투닷(주)
"[Golang 개발] 클라우드 스토리지 서비스 전문기업, 백엔드 개발",서울강남구,(주)유비소시어스
[경력] Back-end 경력직/임원 공고 (Golang 우대),서울강남구,(주)디핀
DevOps Engineer,서울성동구,(주)쏘카
주니어 데브옵스 엔지니어(DevOps Engineer),서울서초구,(주)와탭랩스
DevOps 엔지니어 (Kubernetes),서울서초구,클라우드호스피탈(주)
[Upstage] Software Engineer - MLOps Platform,경기전체,(주)업스테이지
(주)서율컨설팅 서울 개발팀 부문별 모집,서울송파구,(주)서율컨설팅
기술연구소 소프트웨어 엔지니어 채용,서울강남구,(주)아이스크림아트
Software Engineer - Backend,경기전체,(주)업스테이지
[쿠팡] 쿠팡플레이 백엔드 엔지니어 (경력),서울송파구,쿠팡(주)
기술연구소 소프트웨어 엔지니어(인프라) 주니어 채용,서울강남구,(주)아이스크림아트
AI Application 백엔드 개발자 신입/경력 채용,서울서초구,(주)딥하이
[TmaxCloud] 클라우드 연구원,경기성남시 분당구,(주)티맥스클라우드
[국내 1위 모바일 솔루션] 클라우드 인프라 엔지니어 모집,서울강남구,(주)유라클
프론트엔드 개발자,서울서초구,(주)럭스로보
"[카카오자회사] 카카오i AI 플랫폼 개발 및 운영 (JAVA, Kotlin)",경기성남시 분당구,(주)디케이테크인
백엔드 개발자 채용,서울서초구,주식회사 에프디 지뉴인
백엔드 에이전트 개발자(Golang),서울서초구,(주)와탭랩스
